Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
  C?N H? M?T TI?N AN D??NG V??NG G?N AEON MALL,"An D??ng V??ng, Ph??ng An L?c, Qu?n Bình Tân, Tp H? Chí Minh","2,5 t? ",- 52 m2,Ch?a bàn giao,"48,08 tri?u/m²",2 phòng,Chung c?,The Privia,"C?N H? M?T TI?N AN D??NG V??NG G?N AEON MALL
Di?n tích: 52m2
Bàn giao hoàn thi?n
???ng: An D??ng V??ng, Kinh D??ng V??ng, Tên L?a, Lý Chiêu Hoàng, Võ V?n Ki?t,...
Lãi su?t 0% và ân h?n n? g?c 2 n?m"
  BÁN NHANH 2PN+1 2WC 69M2 VINHOMES GRAND PARK VIEW THOÁNG,"Nguy?n Xi?n, Ph??ng Long Th?nh M? (Qu?n 9 c?), Thành ph? Th? ??c, Tp H? Chí Minh","2,37 t? ",- 69 m2,?ã bàn giao,"34,35 tri?u/m²",2 phòng,Chung c?,Vinhomes Grand Park,"Chính ch? g?i bán g?p c?n h? 2 PN +1 phòng ?a n?ng Vinhomes Grand Park
-Di?n tích 69m2
Lo?i 2 PN +1 này có th? thi?t k? thành 3 PN
- ???c mua tr? góp
-Nhà ?ã hoàn thi?n n?i th?t c? b?n, thi?t b? v? sinh cao c?p, h? th?ng ?i?n, s?n 3 máy l?nh
-View thoáng, gió mát c? ngày
- H??ng tr?n ti?n ích Khu ?ô th? : h? b?i, sân bóng ?á, tennis, bóng r?, c?u lông, yoga, sân ch?i tr? em, công viên 36ha, Vincom, Vinshool….
- C?ng ??ng c? dân v?n minh, an ninh 24/7
Giá bán : 2.370 t? bao thu? phí chuy?n nh??ng
Cam k?t r? nh?t th? tr??ng"
  C?N H? VÕ V?N KI?T BÌNH TÂN,"???ng An D??ng V??ng, Ph??ng An L?c, Qu?n Bình Tân, Tp H? Chí Minh","3,2 t? ",- 67 m2,Ch?a bàn giao,"47,76 tri?u/m²",2 phòng,Chung c?,?ang c?p nh?t,"C?n h? Võ V?n Ki?t Bình Tân
1PN+: 51m2
2PN+: 67m2
3PN: 84m2
H? tr? lãi su?t 0% và ân h?n n? g?c 24 tháng ??n cu?i n?m 2025
Tr?c ???ng chính: An D??ng V??ng, Võ V?n Ki?t, Lý Chiêu Hoàng, Kinh D??ng V??ng, Tên L?a,...
G?n Aeon Mall, B?n Xe Mi?n Tây, B?nh Vi?n Tri?u An, Coop Mart,..."
"  C?N H? CAO C?P 2PN 67M2 G?N B?N XE MI?N TÂY, BÌNH TÂN","An D??ng V??ng, Ph??ng An L?c, Qu?n Bình Tân, Tp H? Chí Minh",650 tri?u ,- 67 m2,Ch?a bàn giao,"9,7 tri?u/m²",2 phòng,Chung c?,The Privia,"C?N H? CAO C?P 2PN 67M2 G?N B?N XE MI?N TÂY
Ch? thanh toán tr??c 20% kho?ng 650 tri?u
Mi?n g?c lãi trong 2 n?m
Ch? ??u t? Khang ?i?n uy tín và pháp lý chu?n
Bàn giao hoàn thi?n cao c?p
G?n B?n xe mi?n Tây, B?nh vi?n Tri?u An, Aeon Mall, Co.op Mart,...
Tr?c ???ng An D??ng V??ng, Kinh D??ng V??ng, Võ V?n Ki?t, Tên L?a, H?u Giang, Lý Chiêu Hoàng,..."
"  CHÍNH CH? C?N BÁN NHÀ TR?T KHU CHUNG C? ,Q4,KHÁNH H?I ,GiÁ T?T","360G - 360Bis, B?n Vân ??n, Ph??ng 1, Qu?n 4, Tp H? Chí Minh","4,8 t? ",- 81.3 m2,?ã bàn giao,"59,04 tri?u/m²",2 phòng,Chung c?,Chung c? Khánh H?i 3,"CHÍNH CH? C?N BÁN NHÀ TR?T KHU CHUNG C? -TRUNG TÂM THÀNH PH? QU?N 4- C?N GÓC 2 M?T TI?N- V?A ? V?A KINH DOANH – 360 Bis B?N VÂN ??N- F. 1- QU?N 4. 
Giá: 4 .8 t?. DT. 81m² 10m x 8.1m. 
Mô t?: 
- Hi?n tr?ng Tr?t ?ã ???c ch? nhà tách ra riêng bi?t 2 c?n h? v?i 3 l?i ?i riêng thông thoáng), 2WC, 2 Phòng khách, 2 B?p, Ban công thoáng mát, l? r?ng rãi cây xanh r?p bóng mát , view tr?c di?n sông , Bitexco 
-Giáp Q5,Q8,Q1,Q7 
-Thích h?p : Airbnb , Sleepbox cho khách du l?ch , V?n Phòng Công ty , Start up kh?i nghi?p ... 

* S? h?ng chính ch?, hoàn công, pháp lý chu?n, công ch?ng trong ngày
MR.DUY *** ?? g?p tr?c ti?p chính ch?
H? Tr? Bank ??n 70%.
Mi?n ti?p báo"
  B? B? N? BÁN G?P C?N H? HÀ ?Ô CENTROSA QU?N 10 GIÁ S?C:2T245/88M2 2PN,"S? 200, S? 200 ???ng 3/2, Ph??ng 12, Qu?n 10, Tp H? Chí Minh","2,245 t? ",- 88 m2,?ã bàn giao,"25,51 tri?u/m²",2 phòng,Chung c?,Hà ?ô Centrosa Garden,"?? BÁN G?P CH 2PN  GIÁ SIÊU T?T
         CC CAO C?P HÀ ?Ô Q10
          ----------------------
?? Giá: 2 t? 245
?? N?i th?t c? b?n - 88 m2 - view ??p
??Thi?t k?:  2PN + 2WC 
         ------------------------------------
?? Ti?n ích: C?n h? Cao C?p Hà ?ô ?áp ?ng ??y ?? ti?n ích ph?c v? t?t nhu c?u sinh ho?t quý c? dân: H? b?i tràn b?, công viên xanh mát, v??n treo, phòng t?p gym, Yoga, s?nh ?ón sang tr?ng, siêu th?, ngân hàng, cafe, nhà hàng …
         --------------------------------------
?? Liên h?: Di?u An"
  CHUY?N CÔNG TÁC MI?N TÂY BÁN G?P C?N H? SAIGON ROYAL Q4 GIÁ:1T896 3PN,"S? 34-35, S? 34-35 S? 34-35 ???ng B?n Vân ??n, Ph??ng 12, Qu?n 4, Thành ph? H? Chí Minh, Ph??ng 13, Qu?n 4, Tp H? Chí Minh","1,896 t? ",- 104 m2,?ã bàn giao,"18,23 tri?u/m²",3 phòng,Chung c?,Saigon Royal Residence,"? BÁN c?n h? SAIGON ROYAL qu?n 4. 
??GIÁ: 1 t? 896
 - Thi?t k?: 3PN - 2WC
 - Di?n tích: 104m2
?? Free H? B?I + GYM ??( Siêu th? ti?n l?i 24h, cafe, ...) Cách Q1, Q7, Q5, Q8 ch? 5 phút ch?y xe máy  
H? tr? vay ngân hàng 50-70%
??LH: Di?u An (zalo, viber, sms..)"
  L?Y CH?NG TÂY BÁN G?P CHUNG C? ZEN TOWER QU?N 12 GIÁ T?T:1T110 DT:67M2,"S? 34/1A, S? 34/1A  S? 34/1A, Qu?c l? 1A, Ph??ng Th?i An, Qu?n 12, Thành ph? H? Chí Minh, Ph??ng Th?i An, Qu?n 12, Tp H? Chí Minh","1,11 t? ",- 67 m2,Ch?a bàn giao,"16,57 tri?u/m²",2 phòng,Chung c?,Zen Tower,"C?n bán chung c? Zen Tower (CC HOA PH??NG) Qu?n 12
?? DT: 67m2 có 2PN, 2WC
?? Ti?n ích xung quanh: M?t ti?n Qu?c l? 1A, d? dàng k?t n?i ??n các qu?n huy?n trong TP và các t?nh. 
?? Giá: 1 t? 110 tri?u
H? tr? vay NH 50-70%
Lh: Di?u An chung c? qu?n 12"
  R? NH? CHO RAO G?P C?N H? CHUNG C? BÀU CÁT 2 TÂN BÌNH GIÁ:1T188 70M2,"???ng H?ng L?c, Ph??ng 10, Qu?n Tân Bình, Tp H? Chí Minh","1,188 t? ",- 70 m2,?ã bàn giao,"16,97 tri?u/m²",2 phòng,Chung c?,Bàu Cát 2,"Bán c?n h? chung c? Bàu Cát 2, qu?n Tân Bình
- DT 70m2 g?m 2PN và 2 toillet
- Pháp lý: S? H?ng riêng s? h?u Lâu Dài
- H? tr? vay ngân hàng 70% giá th?m ??nh 
- Ti?n ích bên d??i có ??: siêu th?, cafe, gym, tr??ng h?c, quán ?n, công viên...
- Giá bán: 1.188 t?
- LH: Di?u An
MTG"
"  Nhà em c?n v?n làm ?n nên bán l?i c?n AT16-05, 3 PN, Di?n tích 98m2","Võ V?n Ngân, Ph??ng Bình Th? (Qu?n Th? ??c c?), Thành ph? Th? ??c, Tp H? Chí Minh","8,9 t? ",- 98 m2,Ch?a bàn giao,"90,82 tri?u/m²",3 phòng,Duplex,King Crown Infinity,"Nhà em c?n v?n làm ?n nên bán l?i c?n AT16-05, 3 PN, Di?n tích 98m2, ?ã thanh toán: 3.058.531.841 ?. Vì nhà em mua giai ?o?n ??u m? bán nên giá r?t t?t so v?i th?i ?i?m hi?n t?i.
Anh/ch? mua ch? c?n tr? ph?n nhà em ?ã thanh toán và thu? phí n?u có, ph?n còn l?i anh ch? thanh toán cho C?T theo ti?n ?? ?.
King Crown Infinity tòa nhà bi?u t??ng c?a thành ph? Th? ??c.
- Ch?c ch?n lên giá khi tuy?n metro s? 1 v?n hành vào n?m 2023, ho?c r?t d? cho thuê.
- Thành ph? Th? ??c là trung tâm sáng t?o l?n nh?t Vi?t Nam.
- V? trí ngay c?nh trung tâm th??ng m?i Vincom, ngay m?t ti?n Võ V?n Ngân trung tâm Tp. Th? ??c.
+ Quy mô: 2 block cao 30 t?ng và 1 t?ng l?ng, 5 t?ng h?m (3 h?m xe, 2 h?m th??ng m?i).
* H?m xe: T?ng B3, B4, B5.
* Trung tâm th??ng m?i: H?m B1, B2 và t?ng 1, t?ng 2.
* V?n phòng ?a n?ng officetel: T?ng 3 và 4.
* Ti?n ích và d?ch v?: T?ng 5.
* Ti?n ích và t?ng lánh n?n: T?ng 12
* C?n h? c?a mình là ? t?ng 16 c?n 3PN di?n tích l?n 98m2. Mã c?n AT16-05."
