TinhTrangBDS,DienTich,Phongngu,TenPhanKhu,SoTang,PhongTam,Loai,GiayTo,MaCanHo,TinhTrangNoiThat,HuongCuaChinh,HuongBanCong,DacDiem,Quan,USD
Đã bàn giao,62.0,2,,,2, Chung cư, Đã có sổ,,,,,, Quận 7,80000.0
Đã bàn giao,95.0,3,,,2, Chung cư, Đang chờ sổ,, Nội thất cao cấp,,, Căn góc, Quận 7,212000.0
Chưa bàn giao,75.0,2,2,5.0,2, Chung cư, Giấy tờ khác,17,, Đông Nam, Đông Nam,, Quận Bình Tân,103200.0
Đã bàn giao,70.0,1, A,7.0,1, Chung cư, Đang chờ sổ, BPA - 0712, Nội thất cao cấp, Đông Nam, Tây Bắc,, Quận Tân Bình,160000.0
Đã bàn giao,83.0,2,,,2, Chung cư, Đã có sổ,, Nội thất cao cấp, Tây Bắc,,, Quận 6,118000.0
Đã bàn giao,71.0,2,,,1, Chung cư, Đang chờ sổ,,,,,, Quận 8,79200.0
Đã bàn giao,71.0,2,,,2, Chung cư, Đang chờ sổ,,,,,, Quận Bình Thạnh,108800.0
Đã bàn giao,78.0,2, mp4-5,9.0,2, Chung cư, Đang chờ sổ,,,,,, Huyện Bình Chánh,103600.0
Đã bàn giao,50.0,1, A2,3.0,1, Chung cư, Đã có sổ,, Hoàn thiện cơ bản, Nam, Bắc,, Quận Bình Tân,55600.0
Đã bàn giao,78.0,3,,,2, Chung cư,,,,,,, Quận Bình Tân,78000.0
Chưa bàn giao,43.0,1,,,1, Chung cư,,,,,,, Quận Thủ Đức,38200.0
Đã bàn giao,59.0,2,,,1, Chung cư, Đang chờ sổ,,,,,, Quận 9,79600.0
Đã bàn giao,80.0,4,,,4," Căn hộ dịch vụ, mini", Đang chờ sổ,, Bàn giao thô, Đông Bắc, Tây Nam,, Quận 9,180000.0
Đã bàn giao,59.0,2,,,1, Chung cư,,, Nội thất cao cấp,,,, Quận 9,82800.0
Đã bàn giao,62.0,2,,,2, Chung cư, Đã có sổ,, Hoàn thiện cơ bản, Đông Nam, Đông,, Quận 9,72000.0
Đã bàn giao,87.0,2,,,2, Chung cư,,, Nội thất cao cấp, Tây Bắc, Đông Nam,, Quận 10,224000.0
